beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Taras Boulba","Brasserie de la Senne","Belgian Blonde",4.5,33,"Tasty, quite hoppy","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2020-09-09 21:08:08",https://untappd.com/c/940323903,https://untappd.com/beer/13355,https://untappd.com/brewery/176,Belgium,Brussels,"Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest","light,dry,hoppy",,Bottle,940323903,13355,176,,3.35,3.35,,0,0
Vogelpik,"En Stoemelings","Blonde Ale",6,0,Interesting,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,2.75,"2020-09-09 22:04:19",https://untappd.com/c/940342786,https://untappd.com/beer/1657916,https://untappd.com/brewery/153479,Belgium,Brussels,"Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest","dry,smooth",,Bottle,940342786,1657916,153479,,3.29,3.33,,0,0
"Punk IPA",BrewDog,"IPA - American",5.2,35,"Solid IPA","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2020-09-13 22:27:44",https://untappd.com/c/942259554,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,"fruity,light,smooth,hoppy",,Bottle,942259554,5702,241,,3.73,3.73,,0,0
"German Coast","Rügener Insel-Brauerei","IPA - Imperial / Double",7.5,0,"Not my preference in an IPA, but not bad","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,2.5,"2020-09-13 22:28:40",https://untappd.com/c/942260049,https://untappd.com/beer/2599758,https://untappd.com/brewery/220632,Germany,Rambin,Mecklenburg-Vorpommern,"fruity,dry,hoppy,mouthfeel",,Bottle,942260049,2599758,220632,,3.46,3.46,,0,0
"Floris Kriek","Delirium - Huyghe Brewery","Fruit Beer",3.6,0,"My favorite in the Floris line","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2020-09-20 22:14:21",https://untappd.com/c/944855146,https://untappd.com/beer/20832,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"fruity,light,sweet,sour,tart",,Bottle,944855146,20832,285,,3.49,3.5,,0,0
"Floris Fraise","Delirium - Huyghe Brewery","Fruit Beer",3.6,0,"Not bad, at all actually","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2020-09-20 22:14:52",https://untappd.com/c/944855430,https://untappd.com/beer/20829,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"fruity,sweet,sour,strong,strawberry",,Bottle,944855430,20829,285,,3.24,3.26,,0,0
"Floris Chocolat","Delirium - Huyghe Brewery","Spiced / Herbed Beer",4.2,0,"Not bad, not my glass of beer though","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2020-09-21 23:42:53",https://untappd.com/c/945129058,https://untappd.com/beer/41825,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"milk,fruity,sweet,chocolate",,Bottle,945129058,41825,285,,2.75,2.78,,0,0
"Floris Mango","Delirium - Huyghe Brewery","Fruit Beer",3.6,0,"So, so tasty","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2020-09-21 23:43:14",https://untappd.com/c/945129142,https://untappd.com/beer/20833,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"fruity,soft,light,sweet,mango",,Bottle,945129142,20833,285,,3.33,3.34,,0,0
"Duvel Tripel Hop Citra","Duvel Moortgat","Belgian Strong Golden Ale",9.5,40,"As of now, my favorite IPA","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2020-09-21 23:43:52",https://untappd.com/c/945129276,https://untappd.com/beer/1948530,https://untappd.com/brewery/167,Belgium,Puurs,Vlaanderen,"fruity,hoppy,citrus,bitter",,Bottle,945129276,1948530,167,https://untappd.s3.amazonaws.com/photos/2020_09_21/57a68e459746f2f4102c6b5a20c3b457_raw.jpg,3.7,3.7,,0,0
"BraufactuM Colonia","Radeberger Gruppe",Kölsch,5.5,30,"It tastes like a Pilsner that actually tastes good",,,,,,,3,"2020-09-25 18:25:44",https://untappd.com/c/946042379,https://untappd.com/beer/125040,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"light,smooth,hoppy",,Draft,946042379,125040,4936,,3.29,3.3,,0,0
