beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Tokyo,"Brouwerij St.Bernardus","Wheat Beer - Witbier / Blanche",6,15,"Solid beer, extremely drinkable","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2021-07-03 21:59:17",https://untappd.com/c/1047706980,https://untappd.com/beer/162242,https://untappd.com/brewery/296,Belgium,Watou,Vlaanderen,"light,sweet,smooth",,Can,1047706980,162242,296,,3.46,3.46,,0,0
Gueuze,"Brouwerij Lindemans","Lambic - Gueuze",5,25,,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4.25,"2021-07-03 22:27:02",https://untappd.com/c/1047740509,https://untappd.com/beer/25909,https://untappd.com/brewery/288,Belgium,Vlezenbeek,Vlaanderen,"fruity,sour,tart,apple",,Bottle,1047740509,25909,288,,3.42,3.42,,0,0
"Blurry Vision","BRLO ","IPA - New England / Hazy",6.5,5,,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2021-07-04 00:15:45",https://untappd.com/c/1047851713,https://untappd.com/beer/3705065,https://untappd.com/brewery/165817,Germany,Berlin,Berlin,"citrusy,tropical,fruity,juicy",,Can,1047851713,3705065,165817,,3.73,3.73,,0,0
"Berlin Jam","BRLO ","Sour - Fruited Berliner Weisse",4,5,,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2021-07-04 00:16:27",https://untappd.com/c/1047852345,https://untappd.com/beer/3868045,https://untappd.com/brewery/165817,Germany,Berlin,Berlin,"herbal,sour,tart,Berries",,Can,1047852345,3868045,165817,,3.19,3.2,,0,0
"Trappistes Rochefort Triple Extra","Abbaye Notre-Dame de Saint-Rémy","Belgian Tripel",8.1,35,,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.25,"2021-07-04 00:23:40",https://untappd.com/c/1047858788,https://untappd.com/beer/3986134,https://untappd.com/brewery/1650,Belgium,Rochefort,Wallonie,"strong,bitter,Orange",,Bottle,1047858788,3986134,1650,,3.77,3.77,,0,0
"Ichiban (Ichiban Shibori) (一番搾り)","Kirin Brewery Company","Lager - Pale",5,18,"Pretty tasty for a lager",,,,,,,3.25,"2021-07-08 14:39:39",https://untappd.com/c/1049456005,https://untappd.com/beer/4667,https://untappd.com/brewery/741,Japan,Nakano-ku,Tokyo,"malty,light,sweet,smooth",,Draft,1049456005,4667,741,,3.13,3.14,,0,0
"Honey Kölsch","Rogue Ales",Kölsch,5,26,"Its okay","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2021-07-09 10:45:40",https://untappd.com/c/1049782577,https://untappd.com/beer/671582,https://untappd.com/brewery/4565,"United States",Newport,OR,"light,sweet,smooth,sweetness,honey",,Can,1049782577,671582,4565,,3.61,3.61,,0,0
"Brutal IPA","Rogue Ales","IPA - American",6.2,46,"Was also okay","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2021-07-09 10:46:12",https://untappd.com/c/1049782600,https://untappd.com/beer/515064,https://untappd.com/brewery/4565,"United States",Newport,OR,"malty,hoppy",,Can,1049782600,515064,4565,,3.68,3.68,,0,0
"Dead Guy Ale","Rogue Ales","Bock - Hell / Maibock / Lentebock",6.8,40,"I love this beer so much. I debated on this, and it paid off","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2021-07-12 17:38:47",https://untappd.com/c/1051540498,https://untappd.com/beer/4172,https://untappd.com/brewery/4565,"United States",Newport,OR,"malty,light,sweet,smooth",,Draft,1051540498,4172,4565,,3.71,3.71,,0,0
"Sip Sip Pass IPA","Frothy Beard","IPA - New England / Hazy",6.8,0,"Juicy affffff, very nicely done!","Mellow Mushroom","North Charleston",SC,"United States",32.8722,-80.0157,4,"2021-07-21 22:59:46",https://untappd.com/c/1055236436,https://untappd.com/beer/1153727,https://untappd.com/brewery/26858,"United States",Charleston,SC,"citrusy,smooth,hoppy,citrus",,Draft,1055236436,1153727,26858,,3.88,3.88,,0,0
"The Tangalorian","Frothy Beard","Sour - Fruited",5,0,"This is a bomb sour, absolutely delicious!","Mellow Mushroom","North Charleston",SC,"United States",32.8722,-80.0157,4.25,"2021-07-21 23:00:33",https://untappd.com/c/1055236565,https://untappd.com/beer/3628604,https://untappd.com/brewery/26858,"United States",Charleston,SC,"citrusy,sour,tart,Tangerine",,Draft,1055236565,3628604,26858,,4.05,4.01,,0,0
"Watermelon Sour","Wicked Weed Brewing","Sour - Other",0,0,"A bit light for my preference, but solid","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2021-07-23 18:47:10",https://untappd.com/c/1056013569,https://untappd.com/beer/4044898,https://untappd.com/brewery/37851,"United States",Asheville,NC,"aromatic,light,sour,Watermelon",,Can,1056013569,4044898,37851,,3.73,3.71,,0,0
"BlueBerry Cobbler Milkshake Sour","Snafu Brewing Company","Sour - Fruited",6.2,0,"Fantastic sour. Excellent flavor behind the tartiness","Wild Wing Cafe","North Charleston",SC,"United States",32.9414,-80.0398,4.25,"2021-07-24 20:18:52",https://untappd.com/c/1056796043,https://untappd.com/beer/3916461,https://untappd.com/brewery/291052,"United States","North Charleston",SC,"fruity,tart,vanilla,Blueberry",,Draft,1056796043,3916461,291052,,4.08,4.04,,0,0
"Space Dust IPA","Elysian Brewing Company","IPA - American",8.2,62,"Good IPA, nice flavor","Wild Wing Cafe","North Charleston",SC,"United States",32.9414,-80.0398,3.5,"2021-07-24 21:39:08",https://untappd.com/c/1056845645,https://untappd.com/beer/121023,https://untappd.com/brewery/7294,"United States",Seattle,WA,"sweet,strong,hoppy",,Draft,1056845645,121023,7294,,3.85,3.85,,0,0
Funkatorium,"Wicked Weed Brewing","Brett Beer",5.3,0,"Is just really sour, but I would like to taste the peach slightly more. Good beer though! Wicked Weed seems good for sour beer","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2021-07-24 22:19:54",https://untappd.com/c/1056864959,https://untappd.com/beer/4122656,https://untappd.com/brewery/37851,"United States",Asheville,NC,"dry,sour,acidic",,Bottle,1056864959,4122656,37851,,3.64,3.66,,0,0
"88 Miles Per Hour","Edmund's Oast Brewing Company","IPA - Imperial / Double",8.8,0,"Very, very good IPA. I absolutely love this. Extremely balanced and smooth, making it very drinkable.","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,4.25,"2021-07-25 11:59:45",https://untappd.com/c/1057009831,https://untappd.com/beer/4420019,https://untappd.com/brewery/382855,"United States",Charleston,SC,"malty,citrusy,hoppy",,Draft,1057009831,4420019,382855,,3.92,3.9,,0,0
"Bound By Time","Edmund's Oast Brewing Company","IPA - American",7,70,"Another delicious ipa. This one is also very smooth, and definitely a bit on the citrus side. Good smell, taste, and aftertaste. This brewery knows what they are doing for certain.","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,4.25,"2021-07-25 12:18:11",https://untappd.com/c/1057018423,https://untappd.com/beer/1855203,https://untappd.com/brewery/382855,"United States",Charleston,SC,"light,smooth,hoppy,citrus",,Draft,1057018423,1855203,382855,,3.94,3.94,,0,0
"Crushing Spirits","Edmund's Oast Brewing Company","Sour - Fruited Berliner Weisse",4.5,0,"Wow, just wow","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,4.5,"2021-07-25 12:22:04",https://untappd.com/c/1057020360,https://untappd.com/beer/4379085,https://untappd.com/brewery/382855,"United States",Charleston,SC,"effervescent,sour,tart,apple,grapes",,Draft,1057020360,4379085,382855,,3.92,3.87,,0,0
"Huger Street IPA","Palmetto Brewing Company","IPA - American",7.2,58,"About average, solid ipa","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,3.25,"2021-07-25 12:30:56",https://untappd.com/c/1057024898,https://untappd.com/beer/1085413,https://untappd.com/brewery/2268,"United States",Charleston,SC,"floral,light,smooth,hoppy",,Draft,1057024898,1085413,2268,,3.67,3.67,,0,0
"Sour Guava Tangerine","Edmund's Oast Brewing Company","Sour - Fruited",6.5,0,"Just when I though it couldn't get better. I love this beer, it is literally everything I want in a Sour flavored beer","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,4.5,"2021-07-25 12:31:58",https://untappd.com/c/1057025425,https://untappd.com/beer/3842729,https://untappd.com/brewery/382855,"United States",Charleston,SC,"sour,tart,citrus,Guava,Tangerine",,Draft,1057025425,3842729,382855,,4.13,4.11,,0,0
"Peanut Butter & Jelly","Edmund's Oast Brewing Company","Flavored Malt Beverage",5,0,"Very nice and refreshing","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,3.75,"2021-07-25 12:40:12",https://untappd.com/c/1057029714,https://untappd.com/beer/607241,https://untappd.com/brewery/382855,"United States",Charleston,SC,"bread,light,sweet,smooth",,Draft,1057029714,607241,382855,,3.84,3.84,,0,0
"Cereal For Dinner","Edmund's Oast Brewing Company","Blonde Ale",5,0,"Definitely some nice cereal flavors, really light","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,3.75,"2021-07-25 12:49:53",https://untappd.com/c/1057034985,https://untappd.com/beer/3538768,https://untappd.com/brewery/382855,"United States",Charleston,SC,"cereal,creamy,sweet,vanilla",,Draft,1057034985,3538768,382855,,3.85,3.85,,0,0
"Strawberry Shortcake","Edmund's Oast Brewing Company","Blonde Ale",5,0,"Exactly what it says","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,3.75,"2021-07-25 12:52:39",https://untappd.com/c/1057036537,https://untappd.com/beer/4367604,https://untappd.com/brewery/382855,"United States",Charleston,SC,"light,sweet,strawberry,Berries",,Draft,1057036537,4367604,382855,,3.64,3.65,,0,0
"Leather Jacket","Edmund's Oast Brewing Company","Porter - American",6.5,0,"I don't even like Porters, but can this brewery make a bad beer????","Edmund's Oast Brewing Co.",Charleston,SC,"United States",32.8169,-79.9534,4,"2021-07-25 12:59:01",https://untappd.com/c/1057040053,https://untappd.com/beer/2415992,https://untappd.com/brewery/382855,"United States",Charleston,SC,"malty,roasty,creamy,dry,smooth",,Draft,1057040053,2415992,382855,,3.77,3.76,,0,0
"Munkle Saison","Munkle Brewing Co.","Farmhouse Ale - Saison",6.5,0,"Solid, very drinkable and an easy starter ale","Munkle Brewing Co.",Charleston,SC,"United States",32.8181,-79.9511,3.75,"2021-07-25 13:39:44",https://untappd.com/c/1057064672,https://untappd.com/beer/4299870,https://untappd.com/brewery/365862,"United States",Charleston,SC,"earthy,esters,crisp",,Draft,1057064672,4299870,365862,,3.84,3.78,,0,0
"3rd Floor Tripel","Munkle Brewing Co.","Belgian Tripel",8.2,0,"This is the smoothest Tripel I have ever had","Munkle Brewing Co.",Charleston,SC,"United States",32.8181,-79.9511,4,"2021-07-25 13:57:07",https://untappd.com/c/1057075498,https://untappd.com/beer/2517169,https://untappd.com/brewery/365862,"United States",Charleston,SC,"belgiany,sweet,smooth",,Draft,1057075498,2517169,365862,,3.9,3.88,,0,0
"Brune Noir Volume 3","Munkle Brewing Co.","Brown Ale - Other",6.6,0,"The wine and ale fuse is so properly done, I could drink this comfortably. I love the creativity mix with the authentic Belgian style brew","Munkle Brewing Co.",Charleston,SC,"United States",32.8181,-79.9511,4,"2021-07-25 14:06:12",https://untappd.com/c/1057081197,https://untappd.com/beer/4347340,https://untappd.com/brewery/365862,"United States",Charleston,SC,"floral,belgiany,boozy,barrel aged",,Draft,1057081197,4347340,365862,,3.9,3.72,,0,0
"Munk Light","Munkle Brewing Co.","Table Beer",3.6,0,"Light and a Suttle hint of Raspberry, very smooth and drinkable","Munkle Brewing Co.",Charleston,SC,"United States",32.8181,-79.9511,3.75,"2021-07-25 14:23:42",https://untappd.com/c/1057092877,https://untappd.com/beer/3669916,https://untappd.com/brewery/365862,"United States",Charleston,SC,"fruity,light,smooth,raspberry",,,1057092877,3669916,365862,,3.64,3.66,,0,0
Colorvision,"Fatty's Beer Works","Sour - Fruited",0,0,"Very light sour, would be a good introduction sour","Fatty's Beer Works",Charleston,SC,"United States",32.8165,-79.9506,4,"2021-07-25 14:44:49",https://untappd.com/c/1057107314,https://untappd.com/beer/4360855,https://untappd.com/brewery/181734,"United States",Charleston,SC,"fruity,light,pineapple,Guava",,Draft,1057107314,4360855,181734,,3.94,3.76,,0,0
"Lazy Hazy","Fatty's Beer Works","IPA - New England / Hazy",7.8,45,"Wow, very nice drinkable IPA. I love this brew","Fatty's Beer Works",Charleston,SC,"United States",32.8165,-79.9506,4,"2021-07-25 15:01:35",https://untappd.com/c/1057119455,https://untappd.com/beer/2012722,https://untappd.com/brewery/181734,"United States",Charleston,SC,"hoppy,citrus,fatty,juicy",,Draft,1057119455,2012722,181734,,3.79,3.78,,0,0
"Overly Friendly IPA","Holy City Brewing","IPA - American",6.9,65,"Pretty solid ipa I must say","Swig & Swine",Summerville,SC,"United States",32.9537,-80.1664,3.5,"2021-07-26 17:27:29",https://untappd.com/c/1057517049,https://untappd.com/beer/485703,https://untappd.com/brewery/8665,"United States","North Charleston",SC,"piney,citrusy,light,smooth,hoppy",,Draft,1057517049,485703,8665,,3.76,3.75,,0,0
"Kentucky Bourbon Barrel Ale","Lexington Brewing & Distilling Co.","Strong Ale - American",8.2,19,"Very, very good. It's very smooth for how harsh most barrel Ales are","Swig & Swine",Summerville,SC,"United States",32.9537,-80.1664,4,"2021-07-26 17:28:24",https://untappd.com/c/1057517335,https://untappd.com/beer/8172,https://untappd.com/brewery/28,"United States",Lexington,KY,"sweet,boozy,strong,smooth",,Draft,1057517335,8172,28,,3.85,3.85,,0,0
"Mango IPA","Palmetto Brewing Company","IPA - American",6.5,60,"Wasn't the biggest fan. Definitely drinkable and not bad, but isn't the best","Swig & Swine",Summerville,SC,"United States",32.9537,-80.1664,2.75,"2021-07-26 17:29:17",https://untappd.com/c/1057517627,https://untappd.com/beer/2552570,https://untappd.com/brewery/2268,"United States",Charleston,SC,"subtle,bitter,mango",,Draft,1057517627,2552570,2268,,3.6,3.61,,0,0
"Peanut Butter Shake IPA","Westbrook Brewing Co.","IPA - Milkshake",7,25,"This is a good beer, and I can tell it was well made, but I would enjoy this more as a stout.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2021-07-26 19:06:10",https://untappd.com/c/1057547937,https://untappd.com/beer/3302474,https://untappd.com/brewery/10905,"United States","Mt Pleasant",SC,"creamy,Peanut Butter",,Can,1057547937,3302474,10905,,3.92,3.91,,0,0
"Mexican Cake","Westbrook Brewing Co.","Stout - Imperial / Double",10.5,25,"Best stout I have had yet, very nice","Westbrook Brewing Company","Mt Pleasant",SC,"United States",32.8467,-79.8769,4.5,"2021-07-27 16:07:56",https://untappd.com/c/1057759055,https://untappd.com/beer/113889,https://untappd.com/brewery/10905,"United States","Mt Pleasant",SC,"spicy,sweet,smooth,dark",,Draft,1057759055,113889,10905,,4.27,4.27,,0,0
"Four Claw","Westbrook Brewing Co.","IPA - Triple New England / Hazy",10.5,25,"Smooth and hazy","Westbrook Brewing Company","Mt Pleasant",SC,"United States",32.8467,-79.8769,4,"2021-07-27 16:15:34",https://untappd.com/c/1057762426,https://untappd.com/beer/3882510,https://untappd.com/brewery/10905,"United States","Mt Pleasant",SC,"soft,sweet,smooth,hoppy,juicy",,Draft,1057762426,3882510,10905,,4.11,4.08,,0,0
"Two Claw","Westbrook Brewing Co.","IPA - New England / Hazy",7,30,"Slightly lighter and slightly happier than the four claw, but just as tasty","Westbrook Brewing Company","Mt Pleasant",SC,"United States",32.8467,-79.8769,4,"2021-07-27 16:23:00",https://untappd.com/c/1057765524,https://untappd.com/beer/1702425,https://untappd.com/brewery/10905,"United States","Mt Pleasant",SC,"tropical,fruity,smooth,hoppy",,Draft,1057765524,1702425,10905,,3.95,3.94,,0,0
IPA,"Westbrook Brewing Co.","IPA - American",6.8,35,"Very nice, very standard IPA. It's a very basic IPA, but not in a bad way.","Westbrook Brewing Company","Mt Pleasant",SC,"United States",32.8467,-79.8769,3.75,"2021-07-27 16:31:31",https://untappd.com/c/1057769083,https://untappd.com/beer/33159,https://untappd.com/brewery/10905,"United States","Mt Pleasant",SC,"floral,light,sweet,smooth,hoppy",,Draft,1057769083,33159,10905,,3.76,3.76,,0,0
"La Bonté (with Pear)","Wicked Weed Brewing","Brett Beer",5.5,0,,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2021-07-28 18:58:19",https://untappd.com/c/1058137555,https://untappd.com/beer/1110595,https://untappd.com/brewery/37851,"United States",Asheville,NC,"subtle,light,sour,tart,pear",,Bottle,1058137555,1110595,37851,,3.93,3.93,,0,0
"L.A. Daze","Fatty's Beer Works","IPA - American",7,0,"Pretty standard ipa","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.25,"2021-07-28 19:33:54",https://untappd.com/c/1058152416,https://untappd.com/beer/4312832,https://untappd.com/brewery/181734,"United States",Charleston,SC,"clean,Dank",,Can,1058152416,4312832,181734,,3.62,3.67,,0,0
Vertigo,"Fatty's Beer Works","IPA - New England / Hazy",6,0,"Also okay, not bad","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.25,"2021-07-28 19:52:04",https://untappd.com/c/1058159885,https://untappd.com/beer/4351082,https://untappd.com/brewery/181734,"United States",Charleston,SC,"floral,juicy,Mellow",,Can,1058159885,4351082,181734,,3.75,3.71,,0,0
"Silver Shoes Stout","Munkle Brewing Co.","Stout - Other",6.1,0,"Very nice stout","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2021-07-28 20:39:37",https://untappd.com/c/1058178550,https://untappd.com/beer/3293211,https://untappd.com/brewery/365862,"United States",Charleston,SC,"smoky,sweet,smooth,coffee",,Can,1058178550,3293211,365862,,3.81,3.8,,0,0
"The Dubplates I-Stout","Munkle Brewing Co.","Stout - Foreign / Export",6.8,0,"Oh wow, a stout allegedly brewed with tropical hops, and lives up to it in a beautifully colored, very balanced flavor. I've never had a stout like this and probably never will, but I am glad I bought the pack.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4.5,"2021-07-28 21:56:29",https://untappd.com/c/1058204045,https://untappd.com/beer/4209575,https://untappd.com/brewery/365862,"United States",Charleston,SC,"malty,tropical,dry,hoppy,toasty",,Can,1058204045,4209575,365862,,3.81,3.74,,0,0
"Sparkly Princess","Holy City Brewing","IPA - Sour",6.6,0,"Very light, very nice and drinkable.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2021-07-29 20:32:08",https://untappd.com/c/1058546789,https://untappd.com/beer/2051001,https://untappd.com/brewery/8665,"United States","North Charleston",SC,"light,sour,tart,smooth,hoppy",,Can,1058546789,2051001,8665,,3.72,3.72,,0,0
Blue,"SweetWater Brewing Company","Fruit Beer",4.6,10,"Very nice and light",,,,,,,4,"2021-08-03 20:54:44",https://untappd.com/c/1060855784,https://untappd.com/beer/4511,https://untappd.com/brewery/1224,"United States",Atlanta,GA,"subtle,fruity,light,sweet,smooth",,Draft,1060855784,4511,1224,,3.53,3.53,,0,0
"420 Strain G13 IPA","SweetWater Brewing Company","IPA - New England / Hazy",6,48,"Standard IPA, but done right","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2021-08-03 21:16:45",https://untappd.com/c/1060862476,https://untappd.com/beer/2708151,https://untappd.com/brewery/1224,"United States",Atlanta,GA,"piney,aromatic,smooth,bitter",,Draft,1060862476,2708151,1224,,3.72,3.72,,0,0
"Rainbow Sherbet","Prairie Artisan Ales","Sour - Fruited",5.2,0,Delicious,"Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4,"2021-08-09 21:06:23",https://untappd.com/c/1063583144,https://untappd.com/beer/3220769,https://untappd.com/brewery/37713,"United States",Krebs,OK,"fruity,sweet,sour,salty,Lime",,Draft,1063583144,3220769,37713,,3.98,3.98,,0,0
"Chimay Première (Red)","Bières de Chimay","Belgian Dubbel",7,19,,,,,,,,3.75,"2021-08-09 22:42:38",https://untappd.com/c/1063596363,https://untappd.com/beer/4072,https://untappd.com/brewery/378,Belgium,Baileux,Wallonie,"malty,fruity,sweet,strong,smooth",,Bottle,1063596363,4072,378,,3.74,3.74,,0,0
"Mystic Mountain Blueberry","Martin House Brewing Company","Sour - Fruited Gose",8,9,Delicious,"The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,4,"2021-08-10 18:11:20",https://untappd.com/c/1063810143,https://untappd.com/beer/4417645,https://untappd.com/brewery/27621,"United States","Fort Worth",TX,"bright,sour,tart,salty,Blueberry",,Draft,1063810143,4417645,27621,,3.8,3.79,,0,0
"Wild Sour Series: Piña Colada Gose","DESTIHL Brewery","Sour - Fruited Gose",5.7,11,,"The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,3.25,"2021-08-10 18:53:50",https://untappd.com/c/1063824859,https://untappd.com/beer/2744650,https://untappd.com/brewery/6597,"United States",Normal,IL,"tart,coconut,pineapple",,Draft,1063824859,2744650,6597,,3.61,3.62,,0,0
"Black Cherry","Flying Embers","Hard Kombucha / Jun",7.2,0,"Not a fan","The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,2.75,"2021-08-10 18:54:18",https://untappd.com/c/1063825043,https://untappd.com/beer/3470704,https://untappd.com/brewery/403936,"United States",Ventura,CA,"tart,acetic,vinegar",,Draft,1063825043,3470704,403936,,3.47,3.49,,0,0
"The Maharaja","Avery Brewing Co.","IPA - Imperial / Double",10,102,"Nice, very nice","The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,4,"2021-08-10 18:56:04",https://untappd.com/c/1063825689,https://untappd.com/beer/4515,https://untappd.com/brewery/62,"United States",Boulder,CO,"malty,sweet,strong,smooth,hoppy",,Draft,1063825689,4515,62,,4.03,4.03,,0,0
"Milkshake And Fries","903 Brewers","Stout - Milk / Sweet",10.7,0,"Delicious brew","The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,4,"2021-08-10 19:01:18",https://untappd.com/c/1063827438,https://untappd.com/beer/4313569,https://untappd.com/brewery/45007,"United States",Sherman,TX,"malty,creamy,smooth,chocolate,salty",,Draft,1063827438,4313569,45007,,3.57,3.59,,0,0
"Raspberry Sour","Horny Toad Brewing Company","Sour - Fruited",4.8,0,"Pretty good","The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,3.5,"2021-08-10 19:27:39",https://untappd.com/c/1063836193,https://untappd.com/beer/3808244,https://untappd.com/brewery/56319,"United States",Rowena,TX,"bright,full,light,tart,raspberry",,Draft,1063836193,3808244,56319,,3.83,3.71,,1,0
"Hirsch Road Hop Heads","SpindleTap Brewery","IPA - Imperial / Double New England / Hazy",9,0,"Pretty decent","The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,3.5,"2021-08-10 20:07:38",https://untappd.com/c/1063848230,https://untappd.com/beer/3032424,https://untappd.com/brewery/226007,"United States",Houston,TX,"hoppy,dry-hop,citrus,bitter,Hazy",,Draft,1063848230,3032424,226007,,4.15,4.13,,0,0
"What Limes With Cucumber?","Oak Highlands Brewery","Sour - Traditional Gose",5.6,0,"Its weird, but not bad","The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,3.25,"2021-08-10 20:19:11",https://untappd.com/c/1063851490,https://untappd.com/beer/3418684,https://untappd.com/brewery/65272,"United States",Dallas,TX,"light,sour,tart,salty",,Draft,1063851490,3418684,65272,,3.75,3.73,,0,0
"Galactic Minotaurt","True Vine Brewing Company","Sour - Traditional Gose",5.2,10,"Very good!","The Casual Pint","San Angelo",TX,"United States",31.4597,-100.435,3.75,"2021-08-10 20:25:44",https://untappd.com/c/1063853337,https://untappd.com/beer/1341430,https://untappd.com/brewery/98683,"United States",Tyler,TX,"lemony,floral,dry,sour,tart",,Draft,1063853337,1341430,98683,,3.72,3.72,,0,0
"White Chocolate Haze","Primal Brewing Co. ","Blonde Ale",4.4,0,"Oh my god, wow, I love it!","SoCo Taphouse","San Angelo",TX,"United States",31.4602,-100.433,4.5,"2021-08-10 20:32:27",https://untappd.com/c/1063855025,https://untappd.com/beer/3318590,https://untappd.com/brewery/432372,"United States",Brownwood,TX,"cookie,milk,creamy,smooth,chocolate",,Draft,1063855025,3318590,432372,,3.71,3.7,,0,0
"Blueberry Thrill Sour","Smuttynose Brewing Co.","Sour - Fruited Berliner Weisse",4.5,5,"Very nice","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.75,"2021-08-10 23:35:09",https://untappd.com/c/1063880972,https://untappd.com/beer/3206718,https://untappd.com/brewery/1160,"United States",Hampton,NH,"clean,sour,tart,Blueberry,refreshing",,Can,1063880972,3206718,1160,,3.75,3.75,,0,0
"Sloop Neon Pools Juicy Hazy","Sloop Brewing Co","IPA - American",6.5,0,"Pretty decent IPA","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2021-08-10 23:35:56",https://untappd.com/c/1063881017,https://untappd.com/beer/4384550,https://untappd.com/brewery/501167,"United States",,,"fruity,smooth,hoppy,Hazy,Grapefruit Peel",,Can,1063881017,4384550,501167,,3.85,3.73,,0,0
"Hop Knot","Four Peaks Brewing Company","IPA - American",6.7,47,"Pretty solid standard IPA","Phoenix Airport Marriott",Phoenix,AZ,"United States",33.4602,-111.986,3.75,"2021-08-11 21:19:23",https://untappd.com/c/1064198034,https://untappd.com/beer/4057,https://untappd.com/brewery/4799,"United States",Tempe,AZ,"floral,light,sweet,smooth,hoppy",,Draft,1064198034,4057,4799,,3.71,3.71,,0,0
"Clear Intentions","Embolden Beer Company","IPA - American",7,0,,"Ty's Burger House",Oceanside,CA,"United States",33.1961,-117.379,3.75,"2021-08-13 17:31:59",https://untappd.com/c/1065051657,https://untappd.com/beer/4140332,https://untappd.com/brewery/482267,"United States","San Diego",CA,"smooth,bitter,Grapefruit Peel,Balanced",,Draft,1065051657,4140332,482267,,3.78,3.77,,0,0
"S3 Raspberry Sour","Kilowatt Brewing","Sour - Berliner Weisse",3.3,0,"Amazing smell, almost no flavor","Kilowatt Brewing Company",Oceanside,CA,"United States",33.1958,-117.38,1.75,"2021-08-14 18:29:36",https://untappd.com/c/1065821078,https://untappd.com/beer/1716408,https://untappd.com/brewery/186848,"United States","San Diego",CA,,,Draft,1065821078,1716408,186848,,3.69,3.69,,0,0
"S3 2x Imperial Sour Berries & Flower Series","Kilowatt Brewing","Sour - Other",0,0,"Another sour, not a great flavor","Kilowatt Brewing Company",Oceanside,CA,"United States",33.1958,-117.38,1.75,"2021-08-14 18:37:44",https://untappd.com/c/1065825367,https://untappd.com/beer/4453132,https://untappd.com/brewery/186848,"United States","San Diego",CA,,,Draft,1065825367,4453132,186848,,3.58,3.68,,0,0
"250 Kwh Guava","Kilowatt Brewing","IPA - American",7.4,0,"This is a good IPA, very nice and fruity/floral","Kilowatt Brewing Company",Oceanside,CA,"United States",33.1958,-117.38,3.75,"2021-08-14 18:40:49",https://untappd.com/c/1065826952,https://untappd.com/beer/2521020,https://untappd.com/brewery/186848,"United States","San Diego",CA,"grapefruity,tart,hoppy,citrus,bitter",,Draft,1065826952,2521020,186848,,3.68,3.69,,0,0
"Hazezoose Hazy IPA","Kilowatt Brewing","IPA - New England / Hazy",6.85,0,"Its tastes like Pine to me","Kilowatt Brewing Company",Oceanside,CA,"United States",33.1958,-117.38,2.75,"2021-08-14 18:47:01",https://untappd.com/c/1065830275,https://untappd.com/beer/2666705,https://untappd.com/brewery/186848,"United States","San Diego",CA,"hoppy,bitter,Hazy",,Draft,1065830275,2666705,186848,,3.75,3.74,,0,0
